region_name,longitude,latitude,time_period,ACCESS_CM2,ACCESS_ESM1_5,BCC_CSM2_MR,CanESM5,CESM2_WACCM,CMCC_CM2_SR5,EC_Earth3,EC_Earth3_Veg,GFDL_CM4,IPSL_CM6A_LR,MRI_ESM2_0,NESM3,NorESM2_LM,NorESM2_MM,ensemble_mean_no_dhw_8,ensemble_min_no_dhw_8,ensemble_max_no_dhw_8
Caribbean,-68.34,12.21,2021-2040,584.0,1993.0,54.0,490.0,741.0,285.0,1831.0,899.0,1077.0,502.0,353.0,1537.0,1173.0,557.0,863.0,54.0,1993.0
Caribbean,-68.33,12.21,2021-2040,580.0,1991.0,54.0,488.0,743.0,283.0,1831.0,900.0,1077.0,502.0,354.0,1548.0,1172.0,557.0,863.0,54.0,1991.0
Caribbean,-68.32,12.21,2021-2040,580.0,1991.0,56.0,480.0,780.0,283.0,1832.0,899.0,1076.0,501.0,354.0,1552.0,1172.0,558.0,865.0,56.0,1991.0
Caribbean,-68.31,12.21,2021-2040,581.0,1992.0,56.0,480.0,780.0,282.0,1817.0,899.0,1081.0,344.0,352.0,1554.0,1170.0,557.0,853.0,56.0,1992.0
Caribbean,-68.2,12.21,2021-2040,493.0,1961.0,64.0,440.0,791.0,281.0,1830.0,909.0,1133.0,352.0,337.0,1620.0,1190.0,591.0,857.0,64.0,1961.0
Caribbean,-68.19,12.21,2021-2040,489.0,1964.0,65.0,441.0,788.0,282.0,1830.0,908.0,1139.0,352.0,338.0,1627.0,1190.0,591.0,857.0,65.0,1964.0
Caribbean,-68.41,12.22,2021-2040,587.0,1976.0,51.0,493.0,723.0,284.0,1826.0,898.0,1058.0,501.0,351.0,1499.0,1167.0,542.0,854.0,51.0,1976.0
Caribbean,-68.4,12.22,2021-2040,588.0,1979.0,51.0,493.0,733.0,283.0,1827.0,899.0,1061.0,502.0,351.0,1503.0,1166.0,548.0,856.0,51.0,1979.0
Caribbean,-68.39,12.22,2021-2040,589.0,1983.0,53.0,492.0,736.0,283.0,1827.0,898.0,1072.0,501.0,350.0,1515.0,1167.0,551.0,858.0,53.0,1983.0
Caribbean,-68.38,12.22,2021-2040,588.0,1987.0,53.0,492.0,737.0,284.0,1830.0,898.0,1074.0,502.0,350.0,1518.0,1169.0,552.0,860.0,53.0,1987.0
Caribbean,-68.37,12.22,2021-2040,589.0,1989.0,53.0,491.0,740.0,285.0,1832.0,900.0,1074.0,502.0,350.0,1526.0,1172.0,555.0,861.0,53.0,1989.0
Caribbean,-68.36,12.22,2021-2040,585.0,1989.0,53.0,490.0,741.0,285.0,1831.0,900.0,1076.0,502.0,350.0,1531.0,1172.0,555.0,861.0,53.0,1989.0
Caribbean,-68.35,12.22,2021-2040,585.0,1990.0,54.0,490.0,741.0,285.0,1834.0,901.0,1076.0,502.0,352.0,1538.0,1174.0,556.0,863.0,54.0,1990.0
Caribbean,-68.34,12.22,2021-2040,585.0,1991.0,54.0,490.0,744.0,286.0,1831.0,900.0,1077.0,502.0,351.0,1548.0,1172.0,557.0,863.0,54.0,1991.0
Caribbean,-68.23,12.22,2021-2040,496.0,1944.0,60.0,441.0,784.0,281.0,1822.0,905.0,1095.0,349.0,337.0,1608.0,1180.0,580.0,849.0,60.0,1944.0
Caribbean,-68.22,12.22,2021-2040,495.0,1950.0,64.0,442.0,786.0,281.0,1823.0,906.0,1124.0,350.0,337.0,1609.0,1179.0,583.0,852.0,64.0,1950.0
Caribbean,-68.21,12.22,2021-2040,494.0,1957.0,63.0,442.0,791.0,282.0,1828.0,910.0,1131.0,351.0,338.0,1620.0,1182.0,584.0,855.0,63.0,1957.0
Caribbean,-68.2,12.22,2021-2040,494.0,1962.0,63.0,440.0,751.0,282.0,1829.0,910.0,1136.0,351.0,338.0,1623.0,1188.0,590.0,854.0,63.0,1962.0
Caribbean,-68.19,12.22,2021-2040,493.0,1968.0,63.0,441.0,750.0,284.0,1831.0,910.0,1139.0,351.0,338.0,1629.0,1187.0,595.0,856.0,63.0,1968.0
Caribbean,-68.41,12.23,2021-2040,590.0,1974.0,51.0,495.0,724.0,283.0,1825.0,899.0,1057.0,501.0,350.0,1502.0,1165.0,538.0,854.0,51.0,1974.0
Caribbean,-68.28,12.23,2021-2040,538.0,1969.0,59.0,478.0,779.0,284.0,1821.0,900.0,1082.0,346.0,338.0,1576.0,1172.0,562.0,850.0,59.0,1969.0
Caribbean,-68.27,12.23,2021-2040,536.0,1969.0,59.0,447.0,779.0,284.0,1822.0,902.0,1082.0,347.0,338.0,1585.0,1172.0,563.0,849.0,59.0,1969.0
Caribbean,-68.26,12.23,2021-2040,529.0,1938.0,59.0,448.0,780.0,283.0,1820.0,903.0,1082.0,347.0,338.0,1591.0,1174.0,563.0,847.0,59.0,1938.0
Caribbean,-68.25,12.23,2021-2040,495.0,1933.0,60.0,446.0,782.0,283.0,1820.0,903.0,1085.0,347.0,337.0,1595.0,1176.0,572.0,845.0,60.0,1933.0
Caribbean,-68.24,12.23,2021-2040,496.0,1938.0,60.0,445.0,783.0,282.0,1822.0,904.0,1086.0,347.0,338.0,1604.0,1176.0,573.0,847.0,60.0,1938.0
Caribbean,-68.23,12.23,2021-2040,496.0,1945.0,60.0,443.0,783.0,282.0,1823.0,905.0,1118.0,348.0,338.0,1609.0,1179.0,577.0,850.0,60.0,1945.0
Caribbean,-68.22,12.23,2021-2040,494.0,1948.0,60.0,443.0,746.0,281.0,1827.0,905.0,1124.0,348.0,337.0,1614.0,1178.0,585.0,849.0,60.0,1948.0
Caribbean,-68.21,12.23,2021-2040,494.0,1951.0,60.0,443.0,748.0,282.0,1829.0,910.0,1129.0,350.0,337.0,1621.0,1179.0,589.0,852.0,60.0,1951.0
Caribbean,-68.2,12.23,2021-2040,494.0,1957.0,61.0,441.0,749.0,282.0,1831.0,910.0,1134.0,351.0,337.0,1626.0,1187.0,593.0,854.0,61.0,1957.0
Caribbean,-68.41,12.24,2021-2040,589.0,1972.0,52.0,495.0,726.0,283.0,1827.0,902.0,1058.0,499.0,348.0,1502.0,1164.0,537.0,854.0,52.0,1972.0
Caribbean,-68.29,12.24,2021-2040,539.0,1967.0,59.0,479.0,780.0,284.0,1823.0,901.0,1079.0,505.0,337.0,1577.0,1169.0,561.0,861.0,59.0,1967.0
Caribbean,-68.28,12.24,2021-2040,538.0,1935.0,59.0,449.0,778.0,284.0,1821.0,902.0,1079.0,346.0,336.0,1584.0,1172.0,562.0,846.0,59.0,1935.0
Caribbean,-68.27,12.24,2021-2040,533.0,1937.0,59.0,447.0,780.0,284.0,1824.0,902.0,1081.0,347.0,338.0,1589.0,1169.0,563.0,847.0,59.0,1937.0
Caribbean,-68.26,12.24,2021-2040,528.0,1933.0,59.0,447.0,782.0,284.0,1823.0,903.0,1082.0,347.0,338.0,1595.0,1174.0,564.0,847.0,59.0,1933.0
Caribbean,-68.42,12.25,2021-2040,588.0,1970.0,52.0,495.0,727.0,283.0,1830.0,902.0,1055.0,501.0,348.0,1498.0,1162.0,537.0,853.0,52.0,1970.0
Caribbean,-68.41,12.25,2021-2040,588.0,1971.0,52.0,494.0,727.0,283.0,1829.0,902.0,1057.0,500.0,347.0,1504.0,1160.0,537.0,854.0,52.0,1971.0
Caribbean,-68.31,12.25,2021-2040,542.0,1970.0,59.0,481.0,747.0,285.0,1826.0,901.0,1078.0,504.0,338.0,1575.0,1165.0,561.0,859.0,59.0,1970.0
Caribbean,-68.3,12.25,2021-2040,540.0,1937.0,59.0,480.0,783.0,284.0,1826.0,901.0,1078.0,505.0,336.0,1580.0,1166.0,561.0,860.0,59.0,1937.0
Caribbean,-68.29,12.25,2021-2040,539.0,1938.0,59.0,479.0,781.0,284.0,1825.0,901.0,1079.0,505.0,337.0,1585.0,1166.0,561.0,860.0,59.0,1938.0
Caribbean,-68.28,12.25,2021-2040,537.0,1938.0,59.0,449.0,780.0,284.0,1826.0,902.0,1078.0,346.0,337.0,1592.0,1170.0,562.0,847.0,59.0,1938.0
Caribbean,-68.42,12.26,2021-2040,583.0,1970.0,52.0,495.0,727.0,283.0,1833.0,903.0,1054.0,501.0,345.0,1500.0,1158.0,537.0,853.0,52.0,1970.0
Caribbean,-68.41,12.26,2021-2040,588.0,1968.0,52.0,494.0,730.0,283.0,1833.0,903.0,1054.0,500.0,338.0,1508.0,1160.0,536.0,853.0,52.0,1968.0
Caribbean,-68.33,12.26,2021-2040,548.0,1969.0,56.0,483.0,746.0,285.0,1829.0,903.0,1077.0,505.0,336.0,1568.0,1167.0,561.0,860.0,56.0,1969.0
Caribbean,-68.32,12.26,2021-2040,548.0,1941.0,58.0,481.0,746.0,285.0,1828.0,902.0,1078.0,506.0,334.0,1577.0,1167.0,562.0,858.0,58.0,1941.0
Caribbean,-68.31,12.26,2021-2040,544.0,1940.0,58.0,481.0,746.0,285.0,1829.0,902.0,1078.0,505.0,335.0,1584.0,1167.0,562.0,858.0,58.0,1940.0
Caribbean,-68.42,12.27,2021-2040,553.0,1970.0,52.0,495.0,730.0,283.0,1834.0,905.0,1055.0,502.0,336.0,1505.0,1158.0,537.0,851.0,52.0,1970.0
Caribbean,-68.41,12.27,2021-2040,553.0,1970.0,52.0,495.0,730.0,283.0,1835.0,906.0,1056.0,501.0,335.0,1514.0,1159.0,537.0,852.0,52.0,1970.0
Caribbean,-68.34,12.27,2021-2040,550.0,1970.0,56.0,489.0,746.0,285.0,1834.0,908.0,1074.0,507.0,334.0,1571.0,1166.0,561.0,861.0,56.0,1970.0
Caribbean,-68.33,12.27,2021-2040,549.0,1944.0,58.0,483.0,746.0,286.0,1835.0,908.0,1077.0,506.0,335.0,1579.0,1166.0,561.0,860.0,58.0,1944.0
Caribbean,-68.32,12.27,2021-2040,548.0,1946.0,58.0,481.0,747.0,286.0,1831.0,906.0,1077.0,506.0,335.0,1588.0,1170.0,563.0,860.0,58.0,1946.0
Caribbean,-68.42,12.28,2021-2040,551.0,1969.0,52.0,496.0,779.0,284.0,1840.0,907.0,1053.0,502.0,335.0,1506.0,1158.0,539.0,855.0,52.0,1969.0
Caribbean,-68.41,12.28,2021-2040,553.0,1969.0,52.0,495.0,740.0,284.0,1840.0,907.0,1052.0,502.0,334.0,1518.0,1160.0,539.0,853.0,52.0,1969.0
Caribbean,-68.35,12.28,2021-2040,552.0,1992.0,58.0,492.0,746.0,285.0,1836.0,910.0,1074.0,506.0,334.0,1569.0,1164.0,559.0,863.0,58.0,1992.0
Caribbean,-68.34,12.28,2021-2040,548.0,1998.0,58.0,489.0,748.0,286.0,1838.0,909.0,1076.0,507.0,334.0,1581.0,1166.0,569.0,865.0,58.0,1998.0
Caribbean,-68.42,12.29,2021-2040,550.0,1972.0,52.0,496.0,781.0,284.0,1845.0,908.0,1049.0,504.0,334.0,1515.0,1160.0,542.0,857.0,52.0,1972.0
Caribbean,-68.41,12.29,2021-2040,551.0,1974.0,52.0,495.0,781.0,285.0,1830.0,909.0,1052.0,505.0,335.0,1521.0,1160.0,542.0,857.0,52.0,1974.0
Caribbean,-68.36,12.29,2021-2040,552.0,1963.0,54.0,493.0,747.0,285.0,1838.0,911.0,1072.0,508.0,333.0,1566.0,1162.0,565.0,861.0,54.0,1963.0
Caribbean,-68.35,12.29,2021-2040,551.0,1965.0,58.0,492.0,748.0,287.0,1838.0,909.0,1075.0,509.0,333.0,1575.0,1162.0,568.0,862.0,58.0,1965.0
Caribbean,-68.41,12.3,2021-2040,551.0,1947.0,52.0,495.0,781.0,285.0,1832.0,909.0,1053.0,506.0,332.0,1526.0,1157.0,551.0,856.0,52.0,1947.0
Caribbean,-68.4,12.3,2021-2040,551.0,1983.0,52.0,494.0,742.0,285.0,1834.0,909.0,1055.0,506.0,332.0,1534.0,1155.0,552.0,856.0,52.0,1983.0
Caribbean,-68.37,12.3,2021-2040,552.0,1965.0,54.0,493.0,747.0,285.0,1842.0,912.0,1067.0,506.0,333.0,1562.0,1161.0,564.0,860.0,54.0,1965.0
Caribbean,-68.36,12.3,2021-2040,552.0,1967.0,56.0,493.0,749.0,287.0,1843.0,912.0,1070.0,509.0,333.0,1571.0,1162.0,566.0,862.0,56.0,1967.0
